Code;Libellé;Nb d'emplois au lieu de travail (LT) 2021;Part des emplois sal. dans le nb d’emplois au LT 2021;Population municipale 2022
78646;Versailles;47694;87.7;83918
79191;Niort;48189;92;60074
80001;Abbeville;14458;91.5;22406
80021;Amiens;80362;92.2;134780
81004;Albi;31398;87;50605
81065;Castres;23493;87.8;42700
82121;Montauban;39221;87.9;62487
83050;Draguignan;17104;85.2;40789
83061;Fréjus;21639;79.8;58499
83062;La Garde;13075;88.7;26316
83069;Hyères;24219;82.5;55384
83118;Saint-Raphaël;10617;73.9;36632
83126;La Seyne-sur-Mer;19708;84.7;62905
83129;Six-Fours-les-Plages;10155;77.9;36843
83137;Toulon;81694;86.4;180834
83144;La Valette-du-Var;10878;87.4;23660
84007;Avignon;59304;87.4;91760
84031;Carpentras;13598;84.2;30854
84035;Cavaillon;13977;86.7;25890
84054;L'Isle-sur-la-Sorgue;7201;77.2;20315
84087;Orange;14235;86.8;29357
85047;Challans;12279;87.9;22890
85146;Montaigu-Vendée;14516;91.3;20754
85191;La Roche-sur-Yon;45217;92.5;54699
85194;Les Sables-d'Olonne;19247;81.5;48740
86066;Châtellerault;18927;91.8;31105
86194;Poitiers;62197;91.5;89472
87085;Limoges;83254;90.8;129754
88160;Épinal;23479;90.7;32296
89024;Auxerre;25516;91;35236
89387;Sens;16363;89.5;27275
90010;Belfort;25771;91.4;45646
91027;Athis-Mons;10059;91;36451
91103;Brétigny-sur-Orge;12339;92.6;26658
91114;Brunoy;5359;83.2;25792
91174;Corbeil-Essonnes;20958;92.1;53712
91201;Draveil;6647;86;29824
91223;Étampes;11276;89.6;26601
91228;Évry-Courcouronnes;39849;93.2;66700
91272;Gif-sur-Yvette;10817;90.4;22578
91286;Grigny;7549;92.8;26500
91345;Longjumeau;7417;90.3;20470
91377;Massy;33213;93.2;50597
91421;Montgeron;5554;85.7;23890
91434;Morsang-sur-Orge;2970;81.8;21161
91477;Palaiseau;16870;92.2;36067
91521;Ris-Orangis;6798;85.8;30283
91549;Sainte-Geneviève-des-Bois;10342;87;35714
91570;Saint-Michel-sur-Orge;4518;89.4;21536
91589;Savigny-sur-Orge;6049;81.8;37775
91657;Vigneux-sur-Seine;4186;84.7;31233
91687;Viry-Châtillon;8365;89.7;31112
91691;Yerres;4603;80.6;28349
91692;Les Ulis;15505;93.9;25633
92002;Antony;22334;87.8;64026
